time,BH,lstm_equity
2024-04-24 17:30:00+00:00,0.9900124190,0.9990057865
2024-04-25 06:00:00+00:00,0.9908904009,0.9990057865
2024-04-25 06:30:00+00:00,0.9907887398,0.9990057865
2024-04-25 07:00:00+00:00,0.9901972573,0.9990057865
2024-04-25 07:30:00+00:00,0.9908257075,0.9990057865
2024-04-25 08:00:00+00:00,0.9911029649,0.9990057865
2024-04-25 08:30:00+00:00,0.9912693194,0.9990057865
2024-04-25 09:00:00+00:00,0.9909920620,0.9990057865
2024-04-25 09:30:00+00:00,0.9913617386,0.9990057865
2024-04-25 10:00:00+00:00,0.9913987062,0.9990057865
2024-04-25 10:30:00+00:00,0.9911769003,0.9990057865
2024-04-25 11:00:00+00:00,0.9915280931,0.9990057865
2024-04-25 11:30:00+00:00,0.9907517722,0.9990057865
2024-04-25 12:00:00+00:00,0.9904005794,0.9990057865
2024-04-25 12:30:00+00:00,0.9881640361,0.9990057865
2024-04-25 13:00:00+00:00,0.9877204242,0.9990057865
2024-04-25 13:30:00+00:00,0.9889495988,0.9990057865
2024-04-25 14:00:00+00:00,0.9902896765,0.9990057865
2024-04-25 14:30:00+00:00,0.9899569675,0.9990057865
2024-04-25 15:00:00+00:00,0.9905114824,0.9990057865
2024-04-25 15:30:00+00:00,0.9907702561,0.9990057865
2024-04-25 16:00:00+00:00,0.9908811590,0.9990057865
2024-04-25 16:30:00+00:00,0.9917683829,0.9990057865
2024-04-25 17:00:00+00:00,0.9921565433,0.9990057865
2024-04-25 17:30:00+00:00,0.9916759638,0.9990057865
2024-04-26 06:00:00+00:00,0.9920180453,0.9990057865
2024-04-26 06:30:00+00:00,0.9925357904,0.9990057865
2024-04-26 07:00:00+00:00,0.9920827635,0.9990057865
2024-04-26 07:30:00+00:00,0.9919995544,0.9990057865
2024-04-26 08:00:00+00:00,0.9935897714,0.9990057865
2024-04-26 08:30:00+00:00,0.9930442900,0.9990057865
2024-04-26 09:00:00+00:00,0.9925357904,0.9990057865
2024-04-26 09:30:00+00:00,0.9925912630,0.9990057865
2024-04-26 10:00:00+00:00,0.9919995544,0.9990057865
2024-04-26 10:30:00+00:00,0.9918516273,0.9990057865
2024-04-26 11:00:00+00:00,0.9920735180,0.9990057865
2024-04-26 11:30:00+00:00,0.9907421736,0.9990057865
2024-04-26 12:00:00+00:00,0.9910472734,0.9990057865
2024-04-26 12:30:00+00:00,0.9907884008,0.9990057865
2024-04-26 13:00:00+00:00,0.9901874467,0.9990057865
2024-04-26 13:30:00+00:00,0.9899563105,0.9990057865
2024-04-26 14:00:00+00:00,0.9887544024,0.9990057865
2024-04-26 14:30:00+00:00,0.9874138124,0.9990057865
2024-04-26 15:00:00+00:00,0.9872936216,0.9990057865
2024-04-26 15:30:00+00:00,0.9879315575,0.9990057865
2024-04-26 16:00:00+00:00,0.9885325116,0.9990057865
2024-04-26 16:30:00+00:00,0.9887636478,0.9990057865
2024-04-26 17:00:00+00:00,0.9887266660,0.9990057865
2024-04-26 17:30:00+00:00,0.9887266660,0.9990057865
2024-04-29 06:00:00+00:00,0.9884132381,0.9990057865
2024-04-29 06:30:00+00:00,0.9877956008,0.9990057865
2024-04-29 07:00:00+00:00,0.9878693485,0.9990057865
2024-04-29 07:30:00+00:00,0.9879984071,0.9990057865
2024-04-29 08:00:00+00:00,0.9883210534,0.9990057865
2024-04-29 08:30:00+00:00,0.9868184433,0.9990057865
2024-04-29 09:00:00+00:00,0.9871964004,0.9990057865
2024-04-29 09:30:00+00:00,0.9877402900,0.9990057865
2024-04-29 10:00:00+00:00,0.9878509116,0.9990057865
2024-04-29 10:30:00+00:00,0.9880076255,0.9990057865
2024-04-29 11:00:00+00:00,0.9884962042,0.9990057865
2024-04-29 11:30:00+00:00,0.9877034161,0.9990057865
2024-04-29 12:00:00+00:00,0.9882657426,0.9990057865
2024-04-29 12:30:00+00:00,0.9866893847,0.9990057865
2024-04-29 13:00:00+00:00,0.9862745537,0.9990057865
2024-04-29 13:30:00+00:00,0.9862837722,0.9990057865
2024-04-29 14:00:00+00:00,0.9867631325,0.9990057865
2024-04-29 14:30:00+00:00,0.9875651390,0.9990057865
2024-04-29 15:00:00+00:00,0.9880352809,0.9990057865
2024-04-29 15:30:00+00:00,0.9879246593,0.9990057865
2024-04-29 16:00:00+00:00,0.9885238596,0.9990057865
2024-04-29 16:30:00+00:00,0.9887727582,0.9990057865
2024-04-29 17:00:00+00:00,0.9887727582,0.9990057865
2024-04-29 17:30:00+00:00,0.9883671456,0.9990057865
2024-04-30 06:00:00+00:00,0.9878960283,0.9990057865
2024-04-30 06:30:00+00:00,0.9888659757,0.9990057865
2024-04-30 07:00:00+00:00,0.9890137772,0.9990057865
2024-04-30 07:30:00+00:00,0.9889029261,0.9990057865
2024-04-30 08:00:00+00:00,0.9884318087,0.9990057865
2024-04-30 08:30:00+00:00,0.9894571817,0.9990057865
2024-04-30 09:00:00+00:00,0.9910090976,0.9990057865
2024-04-30 09:30:00+00:00,0.9908982464,0.9990057865
2024-04-30 10:00:00+00:00,0.9913970765,0.9990057865
2024-04-30 10:30:00+00:00,0.9910275727,0.9990057865
2024-04-30 11:00:00+00:00,0.9905656930,0.9990057865
2024-04-30 11:30:00+00:00,0.9902700900,0.9990057865
2024-04-30 12:00:00+00:00,0.9904456043,0.9990057865
2024-04-30 12:30:00+00:00,0.9884595215,0.9990057865
2024-04-30 13:00:00+00:00,0.9887089365,0.9990057865
2024-04-30 13:30:00+00:00,0.9889491140,0.9990057865
2024-04-30 14:00:00+00:00,0.9899282989,0.9990057865
2024-04-30 14:30:00+00:00,0.9876096628,0.9990057865
2024-04-30 15:00:00+00:00,0.9877205140,0.9990057865
2024-04-30 15:30:00+00:00,0.9869260808,0.9990057865
2024-04-30 16:00:00+00:00,0.9864826763,0.9990057865
2024-04-30 16:30:00+00:00,0.9864826763,0.9990057865
2024-04-30 17:00:00+00:00,0.9862979245,0.9990057865
2024-04-30 17:30:00+00:00,0.9866120026,0.9990057865
2024-05-01 06:00:00+00:00,0.9867971845,0.9990057865
2024-05-01 06:30:00+00:00,0.9862694162,0.9990057865
2024-05-01 07:00:00+00:00,0.9869453300,0.9990057865
2024-05-01 07:30:00+00:00,0.9871305119,0.9990057865
2024-05-01 08:00:00+00:00,0.9876860575,0.9990057865
2024-05-01 08:30:00+00:00,0.9878990167,0.9990057865
2024-05-01 09:00:00+00:00,0.9879823485,0.9990057865
2024-05-01 09:30:00+00:00,0.9879267940,0.9990057865
2024-05-01 10:00:00+00:00,0.9879453122,0.9990057865
2024-05-01 10:30:00+00:00,0.9878434621,0.9990057865
2024-05-01 11:00:00+00:00,0.9880193849,0.9990057865
2024-05-01 11:30:00+00:00,0.9881212349,0.9990057865
2024-05-01 12:00:00+00:00,0.9885008578,0.9990057865
2024-05-01 12:30:00+00:00,0.9892786217,0.9990057865
2024-05-01 13:00:00+00:00,0.9888897397,0.9990057865
2024-05-01 13:30:00+00:00,0.9890564034,0.9990057865
2024-05-01 14:00:00+00:00,0.9895193581,0.9990057865
2024-05-01 14:30:00+00:00,0.9891675125,0.9990057865
2024-05-01 15:00:00+00:00,0.9889730716,0.9990057865
2024-05-01 15:30:00+00:00,0.9888064079,0.9990057865
2024-05-01 16:00:00+00:00,0.9884360441,0.9990057865
2024-05-01 16:30:00+00:00,0.9880934576,0.9990057865
2024-05-01 17:00:00+00:00,0.9885378942,0.9990057865
2024-05-01 17:30:00+00:00,0.9885193760,0.9990057865
2024-05-02 06:00:00+00:00,0.9891189706,0.9990057865
2024-05-02 06:30:00+00:00,0.9886485194,0.9990057865
2024-05-02 07:00:00+00:00,0.9890175007,0.9990057865
2024-05-02 07:30:00+00:00,0.9884640287,0.9990057865
2024-05-02 08:00:00+00:00,0.9875969227,0.9990057865
2024-05-02 08:30:00+00:00,0.9874124320,0.9990057865
2024-05-02 09:00:00+00:00,0.9868497355,0.9990057865
2024-05-02 09:30:00+00:00,0.9873386358,0.9990057865
2024-05-02 10:00:00+00:00,0.9870618998,0.9990057865
